# Fig 4-153

P34_53 P33_77 P33_65

P34_93 P34_84
P34_81 P34_92
P34_76 P34_85
P34_78 P34_90 P34_79
P34_86 P34_94

P34_77 P33_78

P33_86 P34_65

P34_66 P34_03

P33_53 P33_9
P33_70 P33_3 P33_7

# Fig 4-53/57

P28_97 P28_98
P28_89 P28_90

# Fig 4-61
P26_38 P21_22
P26_91 P26_92
P26_87 P26_88
P26_77 P26_78
P26_97 P26_98
P26_67 P26_68
P26_57 P26_58
P26_73 P26_74

# Fig 4-65
P15_74 P25_93

# Fig 4-101
P1_4 P1_10
P2_4 P2_10

# Fig 4-102
P3_4 P3_10
P9_4 P12_20
P12_4 P12_22
P4_4 P4_10

# Fig 4-103
P5_4 P5_10
P11_4 P14_20
P14_4 P14_22
P6_4 P6_10

# Fig 4-104
P7_4 P7_10
P10_4 P13_20
P13_4 P13_22
P8_4 P8_10

# Fig 4-108
P11_10 P22_40

# Fig 4-117
P15_4 P15_20
P37_4 P15_22

# Fig 4-118
P38_6 P13_30

# Fig 4-119
P38_14 P14_30

# Fig 4-120
P15_30 P38_14
P15_41 P16_42 P16_41

# Fig 4-121
P38_14 P16_30

# Fig 4-122
P16_4 P16_20
P1_134 P1_128
P2_134 P2_128
P3_134 P3_128
P4_134 P4_128
P5_134 P5_128
P6_134 P6_128
P7_134 P7_128
P8_134 P8_128
P9_134 P9_128
P10_134 P10_128
P11_134 P11_128
P12_134 P12_128
P13_134 P13_128
P14_134 P14_128
P16_134 P16_128
P1_140 P1_139
P2_140 P2_139
P3_140 P3_139
P4_140 P4_139
P5_140 P5_139
P6_140 P6_139
P7_140 P7_139
P8_140 P8_139
P9_140 P9_139
P10_140 P10_139
P11_140 P11_139
P12_140 P12_139
P13_140 P13_139
P14_140 P14_139
P16_140 P16_139 P15_139

# Fig 4-129
P16_106 P16_105 P15_105
