Link	Drawing	Ref	Type	Sheet	Frame	Title	Notes
https://archive.org/stream/apertureCardBox502NARASW_images#page/n1945/mode/1up	LDW1018-20	B	DW	001.0000	01	OUTLINE LEM TIMER	Curtis Instruments, Inc., drawing 10283.
https://archive.org/stream/apertureCardBox502NARASW_images#page/n18/mode/1up	LDW200-10001	-	DW	001.0000	01	TUBE, RCS TANKAGE MODULE ASSY	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n19/mode/1up	LDW200-10001	-	DW	002.0000	01	TUBE, RCS TANKAGE MODULE ASSY	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n23/mode/1up	LDW200-10002	-	DW	002.0000	01	PLATE, DESCENT STAGE	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n20/mode/1up	LDW200-10002	A	DW	001.0000	01	PLATE, DESCENT STAGE	This scan is illegible.
https://archive.org/stream/apertureCardBox502NARASW_images#page/n21/mode/1up	LDW200-10002	A	DW	001.1000	01	PLATE, DESCENT STAGE	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n22/mode/1up	LDW200-10002	A	DW	003.0000	01	PLATE, DESCENT STAGE	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n24/mode/1up	LDW200-35014	-	DW	003.0000	01		
https://archive.org/stream/apertureCardBox502NARASW_images#page/n25/mode/1up	LDW200-53973	-	DW	001.0000	01	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n26/mode/1up	LDW200-53973	-	DW	002.0000	01	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n27/mode/1up	LDW200-53973	-	DW	003.0000	01	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n28/mode/1up	LDW200-53973	-	DW	003.0000	02	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n29/mode/1up	LDW200-53973	-	DW	003.0000	03	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n30/mode/1up	LDW200-53973	-	DW	003.0000	04	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n31/mode/1up	LDW200-53973	-	DW	003.0000	05	SHIELD INSTL, ASCENT STAGE - UP. DOCKING - WINDOW REWORK OF DWG LDW 280-53347&54347 LFM 163	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n32/mode/1up	LDW200-54001	-	DW	001.0000	01	MODIFICATION KIT INSTL - DESCENT STAGE - RAD. THERMAL GEN. SPT TRUSS REMOVAL - REWORK OF LDW280-54508 (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n33/mode/1up	LDW200-54001	-	DW	002.0000	01	MODIFICATION KIT INSTL - DESCENT STAGE - RAD. THERMAL GEN. SPT TRUSS REMOVAL - REWORK OF LDW280-54508 (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n34/mode/1up	LDW200-54001	-	DW	003.0000	01	MODIFICATION KIT INSTL - DESCENT STAGE - RAD. THERMAL GEN. SPT TRUSS REMOVAL - REWORK OF LDW280-54508 (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n35/mode/1up	LDW200-54001	-	DW	003.0000	02	MODIFICATION KIT INSTL - DESCENT STAGE - RAD. THERMAL GEN. SPT TRUSS REMOVAL - REWORK OF LDW280-54508 (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n36/mode/1up	LDW200-54001	-	EO	A01	01	MOD KIT INSTL - D.S. - RTG TRUSS INSTL REMOVAL - RWK OF LDW280-54508	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n37/mode/1up	LDW200-54003	-	DW	001.0000	01	PLATE INSTALLATION - DESCENT STAGE - QUAD II - SCIENTIFIC EQUP. BAY - MASS REPRESENTATION (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n38/mode/1up	LDW200-54003	-	DW	002.0000	01	PLATE INSTALLATION - DESCENT STAGE - QUAD II - SCIENTIFIC EQUP. BAY - MASS REPRESENTATION (LFM-4)	
https://archive.org/stream/apertureCardBox502NARASW_images#page/n39/mode/1up	LDW200-54003	-	DW	003.0000	01	PLATE INSTALLATION - DESCENT STAGE - QUAD II - SCIENTIFIC EQUP. BAY - MASS REPRESENTATION (LFM-4)	
